C0,C1,C2,C3,C4,C5
-0.042007565,0.024667084,-0.11347729,1.1442505,1.7048327,-0.55370986
-0.0011200309,0.13569683,-0.006560564,1.796033,3.260224,-1.2189837
-0.0011200309,0.13569683,-0.006560564,1.796033,3.260224,-1.2189837
0.058322072,0.17863572,-0.17297155,2.2896516,4.7538486,-1.8196145
0.058322072,0.17863572,-0.17297155,2.2896516,4.7538486,-1.8196145
0.041695654,-0.11592895,-0.09666097,1.4020714,2.0209877,-1.1344973
0.041695654,-0.11592895,-0.09666097,1.4020714,2.0209877,-1.1344973
-0.04766649,-0.3241219,0.10363293,-0.50000405,-0.9147981,0.4708419
-0.04766649,-0.3241219,0.10363293,-0.50000405,-0.9147981,0.4708419
-0.12724686,-0.21180862,0.04308033,-1.1462097,-2.0464966,0.9614829
-0.0843488,0.16585755,-0.10603714,-0.0911694,-2.1392105,0.41256046
-0.0843488,0.16585755,-0.10603714,-0.0911694,-2.1392105,0.41256046
0.11241889,0.2858904,-0.040887833,0.7368727,-3.2907083,0.29171032
0.11241889,0.2858904,-0.040887833,0.7368727,-3.2907083,0.29171032
0.2891782,0.031573296,0.43751127,-0.13962159,-4.587165,1.4901825
0.2891782,0.031573296,0.43751127,-0.13962159,-4.587165,1.4901825
0.23445731,0.025898099,0.57736117,-1.5485295,-2.4328918,2.3526402
0.23445731,0.025898099,0.57736117,-1.5485295,-2.4328918,2.3526402
0.00886485,0.22051316,0.26383853,-1.969562,-0.052899726,1.4517881
-0.010349512,0.13717163,-0.023679674,-1.2919449,0.50220996,-0.03227063
-0.010349512,0.13717163,-0.023679674,-1.2919449,0.50220996,-0.03227063
0.10830426,-0.059316397,0.0040845275,-0.6131639,-0.1212817,0.14380866
0.10830426,-0.059316397,0.0040845275,-0.6131639,-0.1212817,0.14380866
0.06824714,-0.03214842,0.023290277,-0.6763801,-0.6930591,1.032941
0.06824714,-0.03214842,0.023290277,-0.6763801,-0.6930591,1.032941
0.049764156,0.18197495,-0.07472998,-0.580653,-0.90626067,1.2497458
0.049764156,0.18197495,-0.07472998,-0.580653,-0.90626067,1.2497458
-0.029026508,0.08180153,0.09930915,-0.9532384,-0.8421462,0.60551846
6.802082E-4,-0.39910173,0.015238345,-1.5964421,-0.2200088,1.3042717
6.802082E-4,-0.39910173,0.015238345,-1.5964421,-0.2200088,1.3042717
-0.1668182,0.10549158,-0.3054915,-0.6372914,-0.8160154,2.1957648
-0.1668182,0.10549158,-0.3054915,-0.6372914,-0.8160154,2.1957648
-0.22465277,0.48307836,-0.15507662,0.022186995,-1.0237931,0.25664628
-0.22465277,0.48307836,-0.15507662,0.022186995,-1.0237931,0.25664628
-0.005055189,0.10595685,-0.067399204,-0.7989449,-0.5404323,-0.3329722
-0.005055189,0.10595685,-0.067399204,-0.7989449,-0.5404323,-0.3329722
-0.04496348,-0.069250226,-0.15320653,-1.0745836,-0.6661537,0.042490162
-0.07040483,-0.1543206,-0.03372252,0.1592594,-0.42521244,0.059183035
-0.07040483,-0.1543206,-0.03372252,0.1592594,-0.42521244,0.059183035
-0.07999474,-0.050341964,0.04453045,0.9818319,0.19191869,0.33420962
-0.07999474,-0.050341964,0.04453045,0.9818319,0.19191869,0.33420962
-0.09747225,0.26200926,-0.023723722,1.1311492,0.46618655,-0.018397808
-0.09747225,0.26200926,-0.023723722,1.1311492,0.46618655,-0.018397808
-0.05264306,0.26345652,-0.002431333,0.8607086,0.58552516,-0.3340305
-0.05264306,0.26345652,-0.002431333,0.8607086,0.58552516,-0.3340305
-0.07560372,0.19768679,-0.064822555,0.19820893,0.9394991,-0.083381556
-0.19305372,0.21024,-0.18751502,0.3774818,1.6799183,-0.38873047
-0.19305372,0.21024,-0.18751502,0.3774818,1.6799183,-0.38873047
-0.29796046,0.034815907,-0.20200783,1.9387599,1.3050725,-0.62800145
-0.29796046,0.034815907,-0.20200783,1.9387599,1.3050725,-0.62800145
-0.31841516,0.18787533,-0.06604874,3.086751,0.6100144,-0.52127343
-0.31841516,0.18787533,-0.06604874,3.086751,0.6100144,-0.52127343
-0.31346762,0.37408134,0.09951651,3.1657236,0.5390073,-1.4517392
-0.31346762,0.37408134,0.09951651,3.1657236,0.5390073,-1.4517392
-0.20836014,0.37340164,0.18317288,2.7077494,0.25476375,-2.4804173
0.03319049,0.261199,0.24396652,1.8339899,-0.07489964,-3.0801747
0.03319049,0.261199,0.24396652,1.8339899,-0.07489964,-3.0801747
0.2420044,0.12788123,0.29110777,1.5508839,0.19053556,-2.8121927
0.2420044,0.12788123,0.29110777,1.5508839,0.19053556,-2.8121927
0.29969743,0.10454583,0.37076926,1.5349656,0.9759323,-2.2523446
0.29969743,0.10454583,0.37076926,1.5349656,0.9759323,-2.2523446
0.27236417,0.044153094,0.33666933,0.88807046,1.6183834,-1.7212349
0.27236417,0.044153094,0.33666933,0.88807046,1.6183834,-1.7212349
0.16716242,0.043061316,0.26808375,0.24606723,1.1250168,-1.5926659
0.23118961,-0.25412732,0.32891977,0.082798265,1.002333,-1.3102489
0.23118961,-0.25412732,0.32891977,0.082798265,1.002333,-1.3102489
0.22324708,7.748604E-5,0.21164727,-0.27176777,0.098436356,-0.21923564
0.22324708,7.748604E-5,0.21164727,-0.27176777,0.098436356,-0.21923564
0.26285163,-0.047602415,0.2992388,-1.4238149,-0.77368176,0.06731856
0.26285163,-0.047602415,0.2992388,-1.4238149,-0.77368176,0.06731856
0.2656653,-0.24296618,0.12568903,-1.7905458,-0.3820885,0.667561
0.2656653,-0.24296618,0.12568903,-1.7905458,-0.3820885,0.667561
0.3652776,0.3656401,-0.184973,-1.3554072,-1.6054742,1.1487961
0.54081845,0.13345873,0.03758335,-2.5830495,-2.7257333,1.6842778
0.54081845,0.13345873,0.03758335,-2.5830495,-2.7257333,1.6842778
0.26293212,-0.30895293,0.13160759,-2.5234177,-1.5224497,3.0928469
0.26293212,-0.30895293,0.13160759,-2.5234177,-1.5224497,3.0928469
0.08598137,0.3255173,-0.17729002,-0.8591387,-0.82222646,3.8525815
0.08598137,0.3255173,-0.17729002,-0.8591387,-0.82222646,3.8525815
-0.32835484,0.35432398,0.10752535,-1.2378217,-0.5082613,1.8796655
-0.32835484,0.35432398,0.10752535,-1.2378217,-0.5082613,1.8796655
-0.1878568,0.067846835,-0.12668222,-2.3318267,-0.16512823,1.0873163
-0.3003561,0.16740549,-0.30158782,-1.8103342,-1.299707,2.0163379
-0.3003561,0.16740549,-0.30158782,-1.8103342,-1.299707,2.0163379
-0.4979611,0.38072115,-0.26338947,-0.5864419,-1.7373549,0.67183346
-0.4979611,0.38072115,-0.26338947,-0.5864419,-1.7373549,0.67183346
-0.2825917,0.18437934,-0.07335496,0.8725596,-1.1937789,-1.4003654
-0.2825917,0.18437934,-0.07335496,0.8725596,-1.1937789,-1.4003654
-0.04060203,0.11589849,0.111946344,1.8861365,-0.2532152,-1.3832229
-0.04060203,0.11589849,0.111946344,1.8861365,-0.2532152,-1.3832229
-0.01124537,0.18956065,0.15846372,2.8661175,0.6161712,-1.6294404
0.027398348,0.53471076,0.18868548,4.158646,1.4256011,-2.5465858
0.027398348,0.53471076,0.18868548,4.158646,1.4256011,-2.5465858
-5.3596497E-4,0.24628612,0.418777,3.9398358,2.6605866,-3.6415331
-5.3596497E-4,0.24628612,0.418777,3.9398358,2.6605866,-3.6415331
0.06933868,0.36396366,0.38942927,3.4343157,2.804554,-3.1612575
0.06933868,0.36396366,0.38942927,3.4343157,2.804554,-3.1612575
0.11331922,0.25632674,0.36728013,0.7808757,1.1016424,-2.3646145
0.11331922,0.25632674,0.36728013,0.7808757,1.1016424,-2.3646145
0.23962337,0.12608111,0.32191813,-2.0715473,-1.2175215,-0.4778616
0.26225948,0.025608122,0.2095421,-4.3472695,-2.6479845,1.630052
0.26225948,0.025608122,0.2095421,-4.3472695,-2.6479845,1.630052
0.13203871,0.07936102,0.018769741,-5.6035833,-4.3493114,3.3789015
0.13203871,0.07936102,0.018769741,-5.6035833,-4.3493114,3.3789015
0.030329943,0.1968767,-0.031145573,-6.0866528,-3.6606772,3.452853
0.030329943,0.1968767,-0.031145573,-6.0866528,-3.6606772,3.452853
-0.13550663,0.30316114,-0.41414028,-4.4194627,-0.9484341,1.8219719
-0.13550663,0.30316114,-0.41414028,-4.4194627,-0.9484341,1.8219719
-0.26448917,0.00237,-0.53311807,0.58580476,1.2293959,-0.042623825
-0.19194031,-0.030813634,-0.4931174,2.489168,1.277814,0.40962237
-0.19194031,-0.030813634,-0.4931174,2.489168,1.277814,0.40962237
-0.3405785,0.11116135,-0.24891627,3.525845,0.118901245,0.3409164
-0.3405785,0.11116135,-0.24891627,3.525845,0.118901245,0.3409164
-0.2788149,0.12715197,-0.009894013,3.5129528,-0.69878197,-0.296724
-0.2788149,0.12715197,-0.009894013,3.5129528,-0.69878197,-0.296724
-0.06991267,0.66176885,0.08952081,4.140273,-1.1461513,-0.5377489
-0.06991267,0.66176885,0.08952081,4.140273,-1.1461513,-0.5377489
-0.13079447,0.6809162,0.5750415,2.809929,0.39601883,-2.2973263
-0.049729288,0.029311776,0.5542632,-0.35984945,1.1947515,-2.9735062
-0.049729288,0.029311776,0.5542632,-0.35984945,1.1947515,-2.9735062
0.099375725,-0.124693096,0.22982866,-1.9436913,-0.061077677,-1.6363018
0.099375725,-0.124693096,0.22982866,-1.9436913,-0.061077677,-1.6363018
0.30468833,0.16194731,-0.12268293,-2.3322628,-2.114688,-0.14806738
