C0,C1,C2,C3,C4,C5
0.011713684,-0.013815403,0.036581457,0.012941286,0.010523415,-0.04294974
-0.007923067,-0.060177416,0.08602613,-0.0041531622,0.044608463,-0.05248361
-0.007923067,-0.060177416,0.08602613,-0.0041531622,0.044608463,-0.05248361
-0.03135717,0.027705193,0.15700698,0.9769674,-0.010989133,-0.29890108
-0.03135717,0.027705193,0.15700698,0.9769674,-0.010989133,-0.29890108
-0.1724062,-0.060371086,0.95191264,3.8807333,1.1981674,1.0820675
-0.6756325,0.23416251,1.1962831,-0.42858934,6.0524263,0.4590897
-0.6756325,0.23416251,1.1962831,-0.42858934,6.0524263,0.4590897
-0.29566836,0.56087905,0.19062138,-1.2397649,4.7518086,-2.4740026
-0.29566836,0.56087905,0.19062138,-1.2397649,4.7518086,-2.4740026
-0.073907316,0.51262534,0.15422654,-1.8680122,1.8617455,-5.006382
-0.073907316,0.51262534,0.15422654,-1.8680122,1.8617455,-5.006382
1.8070529,1.0083902,0.035926104,-4.0093594,2.1296103,-6.765263
4.2840133,-0.5396064,-0.82096064,-1.9446015,3.9284842,-0.38817024
2.26154,0.8364593,-1.935236,-0.27203378,-7.067969,2.7171714
2.26154,0.8364593,-1.935236,-0.27203378,-7.067969,2.7171714
3.606365,1.4017413,0.98443735,4.539097,-2.1871672,10.213928
3.606365,1.4017413,0.98443735,4.539097,-2.1871672,10.213928
1.1638124,2.6139603,0.7554071,3.656046,-0.44039142,13.000526
1.1638124,2.6139603,0.7554071,3.656046,-0.44039142,13.000526
0.39113575,2.796753,0.58036613,-0.25369957,1.5802771,9.348402
0.39113575,2.796753,0.58036613,-0.25369957,1.5802771,9.348402
0.11432859,2.0468166,-0.015898228,-1.1531737,-7.5410586E-4,5.4727035
-1.009879,2.2782788,0.07996905,-2.6180184,-1.9409719,2.4567487
-1.009879,2.2782788,0.07996905,-2.6180184,-1.9409719,2.4567487
-1.0308933,2.0673628,-0.24167752,1.0713702,1.735787,-3.54731
-1.0308933,2.0673628,-0.24167752,1.0713702,1.735787,-3.54731
-0.3729924,2.2668285,-0.13984811,1.8879719,-0.37463933,-8.351685
-0.3729924,2.2668285,-0.13984811,1.8879719,-0.37463933,-8.351685
0.59794855,2.1045501,0.7748734,0.2894562,0.07080789,-11.763481
0.59794855,2.1045501,0.7748734,0.2894562,0.07080789,-11.763481
1.2426528,2.0833867,0.81804943,-1.1485455,1.2521497,-9.7955265
4.4186807,1.2367535,1.302461,-1.5459142,6.374544,-8.139348
4.4186807,1.2367535,1.302461,-1.5459142,6.374544,-8.139348
2.7713215,-1.5448103,-0.41893363,1.1362587,-1.1572891,-1.3217816
2.7713215,-1.5448103,-0.41893363,1.1362587,-1.1572891,-1.3217816
