C0,C1,C2,C3,C4,C5
0.4762876,-0.10932532,0.058874726,-0.24658135,0.03080199,2.1244879
0.33028233,-0.12178445,0.17929602,-0.15866852,-0.3199257,2.6640794
0.31249273,0.429658,0.2325834,-0.97822386,0.30103648,3.597669
0.31249273,0.429658,0.2325834,-0.97822386,0.30103648,3.597669
0.070491076,0.9308454,-0.058279395,-1.0881889,0.3926442,2.271561
0.070491076,0.9308454,-0.058279395,-1.0881889,0.3926442,2.271561
-0.020775437,0.74127376,-0.21111012,-1.0271015,-0.51056683,1.1697576
-0.020775437,0.74127376,-0.21111012,-1.0271015,-0.51056683,1.1697576
-0.24026841,0.5690874,-0.25878906,-0.16714312,-0.97206825,1.3560252
-0.24026841,0.5690874,-0.25878906,-0.16714312,-0.97206825,1.3560252
-0.4134093,0.73551834,-0.16620922,0.8992038,-0.34554344,1.697205
-0.53016615,0.86608064,-0.1603787,1.317631,0.38334498,0.6326929
-0.53016615,0.86608064,-0.1603787,1.317631,0.38334498,0.6326929
-0.4852587,0.82864475,-0.1414212,1.3108823,0.21813779,-1.4166778
-0.4852587,0.82864475,-0.1414212,1.3108823,0.21813779,-1.4166778
-0.32082522,0.6817757,-0.062248588,0.59780455,-0.3247479,-3.0711937
-0.32082522,0.6817757,-0.062248588,0.59780455,-0.3247479,-3.0711937
-0.10948956,0.60869753,-6.161928E-4,-0.23072745,-0.56933755,-4.1757674
-0.10948956,0.60869753,-6.161928E-4,-0.23072745,-0.56933755,-4.1757674
0.3319884,0.8161016,0.22304952,-0.16508941,-0.30661222,-5.1214886
0.924313,0.7128046,0.3698516,-0.14902222,0.60805476,-5.71428
0.924313,0.7128046,0.3698516,-0.14902222,0.60805476,-5.71428
1.1733979,-0.104880154,0.16316283,0.7291394,0.53024775,-4.1054664
1.1733979,-0.104880154,0.16316283,0.7291394,0.53024775,-4.1054664
0.9393046,-0.4443425,0.14080703,0.57548064,-0.51555973,-1.2653682
0.9393046,-0.4443425,0.14080703,0.57548064,-0.51555973,-1.2653682
0.68979615,-0.33552194,0.22393501,0.28171235,-0.5729644,-1.3423973
0.68979615,-0.33552194,0.22393501,0.28171235,-0.5729644,-1.3423973
0.8846637,-0.6520573,0.29163492,0.1336885,0.4806432,-1.3026081
1.1797423,-0.8185774,0.27927065,0.3309953,1.5327588,0.3299207
1.1797423,-0.8185774,0.27927065,0.3309953,1.5327588,0.3299207
1.0963273,-0.6846002,0.12866437,-0.44156885,0.4482406,2.7340744
1.0963273,-0.6846002,0.12866437,-0.44156885,0.4482406,2.7340744
0.78924274,-0.15917772,0.16614556,-0.85601425,-0.3054156,4.0003853
0.78924274,-0.15917772,0.16614556,-0.85601425,-0.3054156,4.0003853
0.5560085,0.29417568,0.18892097,-0.81371325,0.17805971,4.1927204
0.5560085,0.29417568,0.18892097,-0.81371325,0.17805971,4.1927204
0.5070603,0.57493556,0.0846833,-1.277006,0.23352347,4.0376697
0.3656255,0.7983023,0.038686275,-1.3246037,-0.37430972,3.9279253
0.3656255,0.7983023,0.038686275,-1.3246037,-0.37430972,3.9279253
0.19112843,1.003467,0.088588834,-1.2651242,-0.79910153,3.5664337
0.19112843,1.003467,0.088588834,-1.2651242,-0.79910153,3.5664337
-0.04162854,1.0361582,0.032738924,-0.88698006,-0.5118597,2.5772204
-0.04162854,1.0361582,0.032738924,-0.88698006,-0.5118597,2.5772204
-0.23819613,0.87220854,-0.18065119,-0.17882049,-0.47991544,1.6133593
-0.23819613,0.87220854,-0.18065119,-0.17882049,-0.47991544,1.6133593
-0.38068295,0.80616754,-0.20487738,0.72355485,-0.5983261,0.9771301
-0.46696562,0.79841137,-0.12864137,1.4630878,-0.24867411,0.23954426
-0.46696562,0.79841137,-0.12864137,1.4630878,-0.24867411,0.23954426
-0.50710565,0.734535,-0.054846764,1.6538997,0.16735925,-0.8723013
-0.50710565,0.734535,-0.054846764,1.6538997,0.16735925,-0.8723013
-0.42286813,0.6290332,-3.4809113E-5,1.2041482,0.24259952,-2.353745
-0.42286813,0.6290332,-3.4809113E-5,1.2041482,0.24259952,-2.353745
-0.2027151,0.6262778,0.07989049,0.12583493,-0.3673511,-3.8414233
-0.2027151,0.6262778,0.07989049,0.12583493,-0.3673511,-3.8414233
0.22823906,0.6660683,0.16363013,-0.22005573,-0.35790342,-5.194414
0.6312032,0.28041202,0.39194965,0.23373787,0.2671144,-4.488738
0.6312032,0.28041202,0.39194965,0.23373787,0.2671144,-4.488738
0.8305959,0.24340373,0.19325197,-0.6614095,0.09960629,-3.8048337
0.8305959,0.24340373,0.19325197,-0.6614095,0.09960629,-3.8048337
0.8569332,-0.16638637,0.043424368,0.048208132,-0.32994857,-2.6120837
0.8569332,-0.16638637,0.043424368,0.048208132,-0.32994857,-2.6120837
0.6639986,-0.34542876,0.11203277,0.0021305373,-0.47616333,-1.6652199
0.6639986,-0.34542876,0.11203277,0.0021305373,-0.47616333,-1.6652199
0.76817155,-0.58529586,0.11180484,0.41611347,0.40417865,-1.174329
0.85351753,-0.7087255,0.15249193,0.53822,0.7537362,-0.061310645
0.85351753,-0.7087255,0.15249193,0.53822,0.7537362,-0.061310645
0.946694,-0.7052449,0.168414,0.3534803,0.6435596,1.5607034
0.946694,-0.7052449,0.168414,0.3534803,0.6435596,1.5607034
0.6737039,-0.4208942,0.13954914,-0.31508183,-0.0059365607,2.872502
0.6737039,-0.4208942,0.13954914,-0.31508183,-0.0059365607,2.872502
0.49211025,-0.085386455,0.12624466,-0.54024947,0.10347411,3.4953222
0.49211025,-0.085386455,0.12624466,-0.54024947,0.10347411,3.4953222
0.4547723,0.35455346,0.074940205,-0.6016962,0.50112027,3.7491832
0.48663765,0.600052,0.123357296,-1.0229412,-0.052010797,3.6659734
0.48663765,0.600052,0.123357296,-1.0229412,-0.052010797,3.6659734
0.3697281,0.9037752,0.025572777,-1.4045478,-0.6333662,3.78681
0.3697281,0.9037752,0.025572777,-1.4045478,-0.6333662,3.78681
0.022746265,1.0841706,-0.08753848,-0.7083365,-0.89983535,3.4274492
0.022746265,1.0841706,-0.08753848,-0.7083365,-0.89983535,3.4274492
-0.3543467,0.933262,-0.20802188,0.20654836,-0.64026463,1.95474
-0.3543467,0.933262,-0.20802188,0.20654836,-0.64026463,1.95474
-0.4410804,0.6381058,-0.250551,0.82669634,-0.5789437,1.1229366
-0.5412497,0.7077178,-0.17849779,1.1372879,-0.60005075,0.6008002
-0.5412497,0.7077178,-0.17849779,1.1372879,-0.60005075,0.6008002
-0.5953069,0.7369578,-0.0139580965,1.1874641,-0.11420131,-0.836241
-0.5953069,0.7369578,-0.0139580965,1.1874641,-0.11420131,-0.836241
-0.43307632,0.7304539,0.06123793,0.34753242,0.36404422,-2.8353338
-0.43307632,0.7304539,0.06123793,0.34753242,0.36404422,-2.8353338
-0.07104468,0.64279985,0.0423429,-0.4358972,0.038940128,-4.1959558
-0.07104468,0.64279985,0.0423429,-0.4358972,0.038940128,-4.1959558
0.28739363,0.5646988,0.13490772,-0.5731209,-0.31925544,-4.941453
0.56511223,0.20407796,0.3200649,0.009835339,0.5588662,-4.4482193
0.56511223,0.20407796,0.3200649,0.009835339,0.5588662,-4.4482193
0.9727181,0.1117093,0.23934376,-0.19222862,0.9333023,-3.6246014
0.9727181,0.1117093,0.23934376,-0.19222862,0.9333023,-3.6246014
0.9371315,-0.23005259,0.054058194,-0.012708896,-0.4496126,-1.7023509
0.9371315,-0.23005259,0.054058194,-0.012708896,-0.4496126,-1.7023509
0.52005476,-0.40655917,0.098026514,0.28715694,-0.87721616,-0.9605459
0.52005476,-0.40655917,0.098026514,0.28715694,-0.87721616,-0.9605459
0.4624927,-0.5827998,0.1724602,0.2656357,0.21021637,-0.80411553
0.6832492,-0.65308315,0.0998199,0.35862708,0.8638625,-0.2643756
0.6832492,-0.65308315,0.0998199,0.35862708,0.8638625,-0.2643756
0.8490841,-0.67725945,0.13630831,0.39575747,1.0032773,1.4289024
0.8490841,-0.67725945,0.13630831,0.39575747,1.0032773,1.4289024
0.8364204,-0.21219105,0.17746222,-0.092767015,0.5947565,2.8362002
0.8364204,-0.21219105,0.17746222,-0.092767015,0.5947565,2.8362002
0.671022,0.028667629,0.19923508,-0.5879733,0.057664305,3.895432
0.671022,0.028667629,0.19923508,-0.5879733,0.057664305,3.895432
0.50513893,0.4069951,0.17380834,-1.4578846,-0.4921663,4.4797764
0.3112566,0.8239887,0.12532854,-1.5050095,-0.892307,4.4938674
0.3112566,0.8239887,0.12532854,-1.5050095,-0.892307,4.4938674
0.05339843,1.0962143,0.10984063,-0.69356406,-0.25076723,3.8301105
0.05339843,1.0962143,0.10984063,-0.69356406,-0.25076723,3.8301105
-0.23685837,0.91076016,-0.07810211,-0.13027215,0.277563,2.2389083
-0.23685837,0.91076016,-0.07810211,-0.13027215,0.277563,2.2389083
-0.38157558,0.7310002,-0.31192803,-0.35371476,-0.21281135,0.9368307
-0.38157558,0.7310002,-0.31192803,-0.35371476,-0.21281135,0.9368307
-0.47466135,0.6711683,-0.3160119,0.33921808,-0.67059577,0.13343887
-0.5283815,0.66964114,-0.1449008,0.9894606,-0.19670257,-0.53357273
-0.5283815,0.66964114,-0.1449008,0.9894606,-0.19670257,-0.53357273
-0.44975364,0.7971978,-0.029906034,0.79572976,0.49986368,-2.0710685
-0.44975364,0.7971978,-0.029906034,0.79572976,0.49986368,-2.0710685
-0.12497735,0.747489,0.06393254,0.11565013,0.2943191,-4.1470356
