C0,C1,C2,C3,C4,C5
-0.44510955,-0.4028918,0.19923782,-0.76675045,1.7196584,0.9901422
-0.5531664,-0.35819542,0.037899494,-0.5586313,0.88395506,0.23907422
-0.5531664,-0.35819542,0.037899494,-0.5586313,0.88395506,0.23907422
-0.5161371,-0.3532641,0.016309738,0.47327054,-0.9413505,-0.8084758
-0.5161371,-0.3532641,0.016309738,0.47327054,-0.9413505,-0.8084758
-0.4244005,-0.18494701,0.13298118,0.66960025,-1.6490338,-1.5063479
-0.30115867,-0.0661428,0.117631555,0.45465612,-1.4908321,-1.7192966
-0.30115867,-0.0661428,0.117631555,0.45465612,-1.4908321,-1.7192966
-0.2543463,0.08662403,0.17595375,0.13647743,-1.3246288,-1.7008374
-0.2543463,0.08662403,0.17595375,0.13647743,-1.3246288,-1.7008374
-0.33782417,0.19942182,0.098911166,-0.45237118,-0.4397035,-1.3048291
-0.33782417,0.19942182,0.098911166,-0.45237118,-0.4397035,-1.3048291
-0.1363579,0.028728843,-0.054438233,-0.32700485,-0.24616244,-1.7153144
-0.1363579,0.028728843,-0.054438233,-0.32700485,-0.24616244,-1.7153144
0.046226084,0.34433833,-0.061665893,-0.46141595,-0.48116365,-2.3991537
0.1900577,0.49062005,-0.18645811,-0.97102803,-0.23835085,-1.4123093
0.1900577,0.49062005,-0.18645811,-0.97102803,-0.23835085,-1.4123093
0.35408407,0.35572648,-0.2574581,-1.1136683,0.96196353,-0.95025057
0.35408407,0.35572648,-0.2574581,-1.1136683,0.96196353,-0.95025057
0.7161654,0.36185992,-0.20612454,-0.45234534,1.0814859,-0.55896354
0.7161654,0.36185992,-0.20612454,-0.45234534,1.0814859,-0.55896354
0.7283001,0.37837136,-0.08374596,0.053597584,0.1852836,0.66866934
0.7283001,0.37837136,-0.08374596,0.053597584,0.1852836,0.66866934
0.47566533,0.4007215,-0.08074176,0.14129606,-0.26672846,1.7139374
0.17031759,0.36020598,0.011427522,0.6955713,-0.54791176,2.4816048
0.17031759,0.36020598,0.011427522,0.6955713,-0.54791176,2.4816048
-0.15865189,0.43537912,0.14164078,0.2530022,-0.33434325,2.901712
-0.15865189,0.43537912,0.14164078,0.2530022,-0.33434325,2.901712
-0.38383818,0.2725395,0.105835676,-0.28535765,0.8125509,3.7312584
-0.38383818,0.2725395,0.105835676,-0.28535765,0.8125509,3.7312584
-0.66656417,0.15554059,0.053086042,-0.31591773,0.9949389,3.6678567
-0.66656417,0.15554059,0.053086042,-0.31591773,0.9949389,3.6678567
-0.9872341,-0.048971415,-0.0978688,0.27889296,-0.83501846,2.9551857
-1.0272882,-0.35218394,-0.12858355,1.0546488,-2.1601176,1.114214
-1.0272882,-0.35218394,-0.12858355,1.0546488,-2.1601176,1.114214
-0.7739645,-0.46740735,-0.102184415,1.9284985,-2.4686801,-0.28091782
-0.7739645,-0.46740735,-0.102184415,1.9284985,-2.4686801,-0.28091782
-0.5659156,-0.5349562,0.095125794,1.8390723,-2.7527547,-1.3216163
-0.5659156,-0.5349562,0.095125794,1.8390723,-2.7527547,-1.3216163
-0.47724736,-0.34845555,0.12579024,0.8327488,-2.95907,-1.3644061
-0.47724736,-0.34845555,0.12579024,0.8327488,-2.95907,-1.3644061
-0.68982404,-0.104652405,0.044332743,-0.37401453,-2.978319,-1.0130327
-0.90161955,0.19453937,-0.11098683,-1.9346973,-2.2686553,-1.6705282
-0.90161955,0.19453937,-0.11098683,-1.9346973,-2.2686553,-1.6705282
-0.8961108,0.6482552,-0.23719203,-3.353717,0.04635325,-3.255346
-0.8961108,0.6482552,-0.23719203,-3.353717,0.04635325,-3.255346
-0.44160467,1.0155408,-0.47687733,-3.4677734,2.1457584,-4.1700563
-0.44160467,1.0155408,-0.47687733,-3.4677734,2.1457584,-4.1700563
5.2040815E-4,1.0814118,-0.523515,-1.2607672,2.068883,-3.70502
5.2040815E-4,1.0814118,-0.523515,-1.2607672,2.068883,-3.70502
0.18309283,0.8452249,-0.4271481,0.35007864,0.5688717,-2.7705774
0.33854008,0.69839615,-0.344635,1.7373275,0.582107,-2.598013
0.33854008,0.69839615,-0.344635,1.7373275,0.582107,-2.598013
0.5557202,0.72505665,-0.19287276,2.5102384,0.50627464,-2.1286502
0.5557202,0.72505665,-0.19287276,2.5102384,0.50627464,-2.1286502
0.73028326,0.5360371,-0.10861778,2.403446,0.21176901,-0.4639901
0.73028326,0.5360371,-0.10861778,2.403446,0.21176901,-0.4639901
0.60003096,0.43459833,0.0021617413,1.9788877,0.4992319,1.0456309
0.60003096,0.43459833,0.0021617413,1.9788877,0.4992319,1.0456309
