C0,C1,C2,C3,C4,C5
0.32700276,0.22053114,-0.13838577,1.0024438,-0.46187258,-1.6591501
0.4187625,0.29418293,-0.12789881,0.88092303,-0.3201607,-0.92796624
0.3483976,0.2920298,-0.10590649,0.8738129,-0.16782893,0.07065016
0.3483976,0.2920298,-0.10590649,0.8738129,-0.16782893,0.07065016
0.27587318,0.285611,-0.05964756,0.73241925,0.1476629,0.56840056
0.27587318,0.285611,-0.05964756,0.73241925,0.1476629,0.56840056
0.2369312,0.2647675,0.010983944,0.27188668,0.23017369,0.7375483
0.2369312,0.2647675,0.010983944,0.27188668,0.23017369,0.7375483
0.16410053,0.25148958,0.005087018,-0.057915453,0.34320888,1.3332835
0.16410053,0.25148958,0.005087018,-0.057915453,0.34320888,1.3332835
0.041720033,0.14887047,0.010314226,-0.013777559,0.2674718,1.616014
-0.06882435,0.056741893,0.028482676,0.0361366,0.15572129,1.5587934
-0.06882435,0.056741893,0.028482676,0.0361366,0.15572129,1.5587934
-0.16336739,-0.02531612,0.069443464,-0.01696777,0.17891318,1.3993158
-0.16336739,-0.02531612,0.069443464,-0.01696777,0.17891318,1.3993158
-0.24884385,-0.07034975,0.034977555,-0.50898796,0.2851262,1.1244584
-0.24884385,-0.07034975,0.034977555,-0.50898796,0.2851262,1.1244584
-0.31056672,-0.09682757,-0.052027225,-0.6677732,0.5230273,0.8613216
-0.31056672,-0.09682757,-0.052027225,-0.6677732,0.5230273,0.8613216
-0.30926597,-0.13680309,-0.091266036,-0.4823449,0.5563419,0.34865993
-0.25327605,-0.12719351,-0.09113419,-0.25898275,0.4758662,-0.15046811
-0.25327605,-0.12719351,-0.09113419,-0.25898275,0.4758662,-0.15046811
-0.21264237,-0.13136792,-0.03944862,-0.07213034,0.31184322,-0.3548713
-0.21264237,-0.13136792,-0.03944862,-0.07213034,0.31184322,-0.3548713
-0.16970742,-0.12246895,-0.010315299,-0.18016425,0.16289952,-0.6794212
-0.16970742,-0.12246895,-0.010315299,-0.18016425,0.16289952,-0.6794212
-0.121516645,-0.06106913,-0.033986688,0.13599281,0.00312897,-0.9336489
-0.121516645,-0.06106913,-0.033986688,0.13599281,0.00312897,-0.9336489
-0.08554608,0.059396625,0.03394854,0.8133006,-0.65524286,-1.1459945
-0.010931253,0.06604731,0.07478154,0.7508387,-1.1795907,-0.9810945
-0.010931253,0.06604731,0.07478154,0.7508387,-1.1795907,-0.9810945
0.016639113,0.10211253,0.03292036,0.21382947,-0.82510275,-1.0178968
0.016639113,0.10211253,0.03292036,0.21382947,-0.82510275,-1.0178968
0.09200072,0.12385309,-0.030198574,-0.29039207,0.01132891,-0.87311345
0.09200072,0.12385309,-0.030198574,-0.29039207,0.01132891,-0.87311345
0.18568116,0.15304291,-0.087905765,-0.5199869,0.43854147,-0.6281865
0.18568116,0.15304291,-0.087905765,-0.5199869,0.43854147,-0.6281865
0.22711194,0.16647378,-0.12882078,-0.3687495,0.36337942,-0.3550926
0.24112469,0.16214043,-0.093643904,-0.059640124,0.2556604,-0.015094047
0.24112469,0.16214043,-0.093643904,-0.059640124,0.2556604,-0.015094047
0.19668609,0.1524831,-0.005149126,-0.22126666,0.45592257,0.35805714
0.19668609,0.1524831,-0.005149126,-0.22126666,0.45592257,0.35805714
0.153772,0.15052223,-0.0038814545,-0.4330204,0.5297363,0.603158
0.153772,0.15052223,-0.0038814545,-0.4330204,0.5297363,0.603158
0.08704656,0.14252257,0.00614357,-0.43738824,0.5109945,0.81226623
0.08704656,0.14252257,0.00614357,-0.43738824,0.5109945,0.81226623
0.048131704,0.10203016,0.025011659,-0.5371857,0.6271705,0.9598721
0.024785757,0.04267335,-0.014361501,-0.50466824,0.74033105,1.2083278
0.024785757,0.04267335,-0.014361501,-0.50466824,0.74033105,1.2083278
-0.061608374,-0.006433308,-0.057231307,-0.31551895,0.13971156,1.2487553
-0.061608374,-0.006433308,-0.057231307,-0.31551895,0.13971156,1.2487553
-0.17850155,-0.047943294,-0.044329643,0.054581933,-0.2287963,1.2195663
-0.17850155,-0.047943294,-0.044329643,0.054581933,-0.2287963,1.2195663
-0.29434395,-0.13388205,-0.0072618723,0.07363155,-0.067048185,0.98421824
-0.29434395,-0.13388205,-0.0072618723,0.07363155,-0.067048185,0.98421824
