C0,C1,C2,C3,C4,C5
-3.899284,-0.27109522,-0.23037839,0.5524277,-1.0412666,2.7516124
-2.5287228,-0.93070656,-0.28618872,0.29769224,0.38375637,-1.7694166
-2.5287228,-0.93070656,-0.28618872,0.29769224,0.38375637,-1.7694166
-2.1694055,0.1672669,-0.21012497,-0.05518049,1.1307608,-6.627119
-2.1694055,0.1672669,-0.21012497,-0.05518049,1.1307608,-6.627119
-2.1365938,1.8767425,0.16109645,1.1513069,2.8367977,-9.354277
-0.6357807,3.512656,0.45194662,2.7058244,2.7878525,-12.754609
-0.6357807,3.512656,0.45194662,2.7058244,2.7878525,-12.754609
1.43781,3.0782332,0.97845197,1.346853,1.5920262,-7.257741
1.43781,3.0782332,0.97845197,1.346853,1.5920262,-7.257741
2.5326223,2.8511164,0.42705572,-3.671062,1.6885707,4.0705585
2.5326223,2.8511164,0.42705572,-3.671062,1.6885707,4.0705585
0.34947598,2.7654018,0.8250096,0.9033479,-2.7691963,9.933604
0.34947598,2.7654018,0.8250096,0.9033479,-2.7691963,9.933604
-0.26245087,1.9854088,0.66071737,0.5524617,-3.5650826,10.453513
-2.9238906,0.5956113,0.5730648,-1.110697,-4.141597,8.699795
-2.9238906,0.5956113,0.5730648,-1.110697,-4.141597,8.699795
-3.523544,-0.28467566,-0.47072482,-2.2656043,1.682918,2.6229594
-3.523544,-0.28467566,-0.47072482,-2.2656043,1.682918,2.6229594
-3.530581,0.066326916,-0.43378007,-0.22430784,2.3903964,-4.4153247
-3.530581,0.066326916,-0.43378007,-0.22430784,2.3903964,-4.4153247
-3.1577456,1.4053087,0.16663456,1.8855556,1.7196045,-8.111399
-3.1577456,1.4053087,0.16663456,1.8855556,1.7196045,-8.111399
-0.18689358,3.187565,0.27198005,3.1010032,2.141856,-13.374149
0.4913324,2.591425,0.37931848,2.3694258,0.45274058,-7.612726
0.4913324,2.591425,0.37931848,2.3694258,0.45274058,-7.612726
0.3002294,2.4587064,0.40336633,-0.59441966,4.389231,-5.562305
0.3002294,2.4587064,0.40336633,-0.59441966,4.389231,-5.562305
2.3099697,1.3945677,0.12690294,-0.057668783,0.97584015,-0.20062035
2.3099697,1.3945677,0.12690294,-0.057668783,0.97584015,-0.20062035
1.0422688,1.8776218,0.2671405,-0.36423913,-1.8204582,7.811907
1.0422688,1.8776218,0.2671405,-0.36423913,-1.8204582,7.811907
-0.46604717,2.571774,0.47620058,-1.2010514,-1.6899637,10.169128
-0.1708675,1.7335206,0.119680405,-1.1799446,-1.1038704,8.082157
-0.1708675,1.7335206,0.119680405,-1.1799446,-1.1038704,8.082157
-0.93551195,1.4397401,0.43428278,0.88190734,-3.9528382,9.879335
-0.93551195,1.4397401,0.43428278,0.88190734,-3.9528382,9.879335
-3.4793472,1.0452828,0.27929854,-2.2137995,1.2186915,6.4207907
-3.4793472,1.0452828,0.27929854,-2.2137995,1.2186915,6.4207907
-3.8656552,0.054596305,-0.58452964,-0.73216,2.517023,-0.54577863
-3.8656552,0.054596305,-0.58452964,-0.73216,2.517023,-0.54577863
-2.2263556,0.07276231,-0.48511708,1.982516,0.67232966,-4.513634
-2.2263556,0.07276231,-0.48511708,1.982516,0.67232966,-4.513634
-1.6292958,2.2256107,0.32654095,1.474624,1.6221942,-11.140613
-1.6292958,2.2256107,0.32654095,1.474624,1.6221942,-11.140613
-0.5886328,3.8362393,0.3263092,2.0165641,2.2567203,-13.755933
-0.5886328,3.8362393,0.3263092,2.0165641,2.2567203,-13.755933
0.16941215,3.4062753,0.46831965,2.2623749,2.266352,-9.69586
0.16941215,3.4062753,0.46831965,2.2623749,2.266352,-9.69586
3.2391374,2.3078556,0.820454,-4.2472157,2.612065,0.07058267
3.2391374,2.3078556,0.820454,-4.2472157,2.612065,0.07058267
0.38179737,2.9985948,0.33713382,-1.1377461,-3.0729518,10.552615
-0.47735727,2.5847301,0.53805006,0.1809183,-4.1853704,10.109777
-0.47735727,2.5847301,0.53805006,0.1809183,-4.1853704,10.109777
-0.44230634,1.3823956,0.43076146,-0.4702756,-2.217213,9.866528
-0.44230634,1.3823956,0.43076146,-0.4702756,-2.217213,9.866528
-3.1830077,0.45755297,0.41554177,-1.3432896,-0.94116694,7.8059583
-4.0427427,0.2757498,-0.118876934,-1.4950744,1.390324,3.2387257
-4.0427427,0.2757498,-0.118876934,-1.4950744,1.390324,3.2387257
-3.5646677,-0.019549847,0.0064963102,0.030777402,1.6275496,-2.6530762
-3.5646677,-0.019549847,0.0064963102,0.030777402,1.6275496,-2.6530762
-1.9582992,0.7709442,-0.025892735,0.9624126,1.6019908,-6.81411
-1.1472895,1.7014656,0.19085646,1.0285575,0.12879416,-10.464627
-1.1472895,1.7014656,0.19085646,1.0285575,0.12879416,-10.464627
-0.37993288,3.023986,0.43330336,0.18663733,2.2840059,-11.945813
-0.37993288,3.023986,0.43330336,0.18663733,2.2840059,-11.945813
0.13824129,2.8021388,0.38197005,0.74391294,2.4988945,-8.139401
0.13824129,2.8021388,0.38197005,0.74391294,2.4988945,-8.139401
2.5684483,1.9176831,0.6509154,-1.7027858,2.6715086,-1.4858595
2.5684483,1.9176831,0.6509154,-1.7027858,2.6715086,-1.4858595
1.113737,2.0802007,0.38891876,-0.7203567,-3.5234246,8.1300745
-0.34479904,2.9151006,0.4825381,0.40171316,-3.1992588,11.13438
-0.34479904,2.9151006,0.4825381,0.40171316,-3.1992588,11.13438
-0.28931212,1.9231449,0.329687,-1.4212369,-0.64859045,9.163612
-0.28931212,1.9231449,0.329687,-1.4212369,-0.64859045,9.163612
-1.9158485,1.5673513,0.22311997,-0.50393254,-3.2013197,11.347507
-1.9158485,1.5673513,0.22311997,-0.50393254,-3.2013197,11.347507
-3.8688426,0.3052097,-0.26080036,-1.1364985,1.6559228,2.7799041
-3.8688426,0.3052097,-0.26080036,-1.1364985,1.6559228,2.7799041
-3.168954,-0.07166332,-0.18610942,-0.32003522,0.7949166,-1.2536905
-2.3832693,0.49091804,-0.15058887,0.6833137,1.7608938,-5.411161
-2.3832693,0.49091804,-0.15058887,0.6833137,1.7608938,-5.411161
-1.6925583,1.7531891,0.22128391,0.98241043,1.5830504,-10.353446
-1.6925583,1.7531891,0.22128391,0.98241043,1.5830504,-10.353446
-0.3299994,3.1686437,0.27499795,2.2586849,1.2223582,-12.901238
-0.3299994,3.1686437,0.27499795,2.2586849,1.2223582,-12.901238
0.10775787,3.3458378,0.3658452,1.3087466,0.7442989,-10.241113
0.10775787,3.3458378,0.3658452,1.3087466,0.7442989,-10.241113
3.1316614,2.3620577,0.20187819,-2.6289053,-1.0727547,-1.9661816
0.9723029,2.5220006,0.08466792,2.0648835,-1.253147,10.305901
0.9723029,2.5220006,0.08466792,2.0648835,-1.253147,10.305901
-0.3478545,2.7021089,0.56800425,-0.059953753,1.2032589,11.6903515
-0.3478545,2.7021089,0.56800425,-0.059953753,1.2032589,11.6903515
-0.26140773,1.5652092,0.46809125,-3.5373902,-0.2904892,9.297114
-0.26140773,1.5652092,0.46809125,-3.5373902,-0.2904892,9.297114
-1.8746707,1.9940212,0.029817939,-3.2694905,-2.8244538,11.109119
-1.8746707,1.9940212,0.029817939,-3.2694905,-2.8244538,11.109119
-3.8272629,1.2770772,-0.74434125,-1.7485677,2.6177266,2.6277463
-2.8116713,0.050437152,-1.0069101,2.0763242,0.44193164,-2.737993
