C0,C1,C2,C3,C4,C5
-1.5555935,0.9360511,-0.8173439,0.9086426,-0.12260248,-5.307069
-1.5555935,0.9360511,-0.8173439,0.9086426,-0.12260248,-5.307069
0.036658406,1.6388187,0.02623862,2.8982873,-2.1777854,-11.283054
0.036658406,1.6388187,0.02623862,2.8982873,-2.1777854,-11.283054
1.8507333,2.6175327,1.0674961,1.4033626,-1.3269198,-13.066619
3.291016,0.5941846,-0.27787387,-2.654408,0.10522496,3.2316804
3.291016,0.5941846,-0.27787387,-2.654408,0.10522496,3.2316804
1.2079315,1.4092307,0.82433283,0.17912164,-1.1785035,15.496254
1.2079315,1.4092307,0.82433283,0.17912164,-1.1785035,15.496254
-3.7475586,1.9184984,-3.4687781,-7.404281,10.849346,4.5673947
-3.7475586,1.9184984,-3.4687781,-7.404281,10.849346,4.5673947
-1.8132393,0.70487654,0.20084214,6.4711843,-5.331264,-11.105605
-1.8132393,0.70487654,0.20084214,6.4711843,-5.331264,-11.105605
0.8705781,2.3079264,0.7972072,0.840046,-3.204863,-14.401478
2.4027126,1.5994449,0.21052724,-3.7073631,-3.1425657,-4.880965
2.4027126,1.5994449,0.21052724,-3.7073631,-3.1425657,-4.880965
2.4846036,1.1170615,-0.88087,2.742439,-0.79996616,14.125068
2.4846036,1.1170615,-0.88087,2.742439,-0.79996616,14.125068
-3.155073,3.2656636,1.1154561,-11.815289,15.981887,18.939224
-3.155073,3.2656636,1.1154561,-11.815289,15.981887,18.939224
-2.3980358,1.0268446,0.022123694,7.7608495,-7.0401177,-12.363696
-2.3980358,1.0268446,0.022123694,7.7608495,-7.0401177,-12.363696
0.42448425,2.0147228,1.2135241,-0.7771079,-3.037886,-14.872573
1.6809758,2.2666287,0.27967387,-9.254581,-1.6732361,-1.5362118
1.6809758,2.2666287,0.27967387,-9.254581,-1.6732361,-1.5362118
1.8165882,3.0279272,-1.8175681,6.534915,0.5467306,11.184466
1.8165882,3.0279272,-1.8175681,6.534915,0.5467306,11.184466
-0.80230296,2.9299629,2.049232,-0.7870992,6.1313653,20.994654
-0.80230296,2.9299629,2.049232,-0.7870992,6.1313653,20.994654
-4.734327,1.1189833,-3.7459364,4.3968925,-6.1338162,-6.053347
-4.734327,1.1189833,-3.7459364,4.3968925,-6.1338162,-6.053347
-0.8513431,1.7356879,0.8672511,3.9351695,-0.24390578,-12.932479
1.44383,3.3387182,0.49809444,0.79945356,-8.087474,-16.885534
1.44383,3.3387182,0.49809444,0.79945356,-8.087474,-16.885534
3.3996994,1.211816,-1.4908195,-3.3760371,1.5369192,2.5805
3.3996994,1.211816,-1.4908195,-3.3760371,1.5369192,2.5805
1.279439,2.5544484,0.7000662,4.7072916,-0.89509714,20.026665
1.279439,2.5544484,0.7000662,4.7072916,-0.89509714,20.026665
-4.662023,3.8529606,-5.0880885,-12.832677,13.182637,5.798172
-4.662023,3.8529606,-5.0880885,-12.832677,13.182637,5.798172
-1.1208068,0.4235926,1.1908498,5.6837487,-3.3165495,-13.790455
1.20204,2.8900092,0.33606064,-0.57169974,-4.296874,-14.501071
1.20204,2.8900092,0.33606064,-0.57169974,-4.296874,-14.501071
3.0330424,0.8081582,-1.0969008,-2.9891863,1.7541009,3.6543648
3.0330424,0.8081582,-1.0969008,-2.9891863,1.7541009,3.6543648
0.5536584,2.7554178,1.2883122,4.5641932,1.5075244,22.82539
0.5536584,2.7554178,1.2883122,4.5641932,1.5075244,22.82539
-3.056834,2.522999,-7.24981,1.7894912,1.6112535,-2.8661282
-3.056834,2.522999,-7.24981,1.7894912,1.6112535,-2.8661282
-0.52324027,1.0257777,1.6307276,5.0349555,-2.1645644,-14.201481
1.5621715,2.5175037,0.13985842,0.98067904,-6.7028146,-14.231433
1.5621715,2.5175037,0.13985842,0.98067904,-6.7028146,-14.231433
3.0497005,0.73746204,-1.0455501,-3.0479615,2.7771204,7.200997
3.0497005,0.73746204,-1.0455501,-3.0479615,2.7771204,7.200997
0.7913328,3.4230921,0.323093,3.5467188,-0.13417596,21.360426
0.7913328,3.4230921,0.323093,3.5467188,-0.13417596,21.360426
-3.4381886,3.0669062,-3.7394047,-6.2394395,13.361988,12.182013
-3.4381886,3.0669062,-3.7394047,-6.2394395,13.361988,12.182013
-1.9797077,0.28276125,1.2311859,5.8040247,-6.79627,-13.863687
1.4672451,2.4000006,1.7442315,-5.2531133,0.5056861,-12.349808
1.4672451,2.4000006,1.7442315,-5.2531133,0.5056861,-12.349808
2.5299215,2.359295,-2.1980433,-8.051541,-9.545121,0.28217155
2.5299215,2.359295,-2.1980433,-8.051541,-9.545121,0.28217155
0.5833788,3.3589358,0.46517277,9.885747,-0.6808021,16.619865
0.5833788,3.3589358,0.46517277,9.885747,-0.6808021,16.619865
-5.3344684,1.5239912,-3.5946302,-5.7330675,5.065756,1.1147358
-5.3344684,1.5239912,-3.5946302,-5.7330675,5.065756,1.1147358
-1.2868667,1.1240727,1.0368164,6.48188,-1.7175294,-12.700291
1.4799676,3.2628098,0.6452731,-0.65632963,-6.398966,-16.121443
1.4799676,3.2628098,0.6452731,-0.65632963,-6.398966,-16.121443
3.695158,0.90265137,-1.4901074,-4.941334,1.975744,1.9177748
3.695158,0.90265137,-1.4901074,-4.941334,1.975744,1.9177748
1.2500114,2.6167731,0.6512455,4.417221,-0.7891892,19.419626
1.2500114,2.6167731,0.6512455,4.417221,-0.7891892,19.419626
-3.7462866,1.9414009,-6.5655727,-5.7005143,10.390334,1.474252
-3.7462866,1.9414009,-6.5655727,-5.7005143,10.390334,1.474252
-1.0738157,0.57083815,1.5965195,7.0063014,-3.5856354,-13.336603
1.3737432,2.5410707,0.30504882,-0.058384985,-6.1084194,-14.567612
1.3737432,2.5410707,0.30504882,-0.058384985,-6.1084194,-14.567612
2.6878498,0.38939,-0.6883339,-4.2030015,0.45600456,1.7726536
2.6878498,0.38939,-0.6883339,-4.2030015,0.45600456,1.7726536
1.2994857,1.6858864,0.30971944,4.119249,-0.092327446,18.721756
1.2994857,1.6858864,0.30971944,4.119249,-0.092327446,18.721756
-2.8156648,3.3082235,-4.8021293,-12.593123,16.778679,6.795849
-2.8156648,3.3082235,-4.8021293,-12.593123,16.778679,6.795849
-0.29164863,0.32952535,1.3868809,8.067136,-9.756157,-14.787506
1.2492383,1.8864571,0.29146683,0.15876572,-4.376183,-13.407319
1.2492383,1.8864571,0.29146683,0.15876572,-4.376183,-13.407319
2.7710135,-0.055978358,-0.15478384,-4.4089556,1.3873342,6.739819
2.7710135,-0.055978358,-0.15478384,-4.4089556,1.3873342,6.739819
0.02747494,2.7512858,0.5820607,-0.74046373,2.893589,20.877966
0.02747494,2.7512858,0.5820607,-0.74046373,2.893589,20.877966
-1.8765376,2.4192197,-3.8043878,8.027523,-4.2737308,-7.5443125
-1.8765376,2.4192197,-3.8043878,8.027523,-4.2737308,-7.5443125
0.69885814,1.7822884,1.2064216,4.631963,-5.9626107,-16.245079
2.1973088,0.76462716,-0.031060517,-0.65302396,-4.5133166,-8.834456
2.1973088,0.76462716,-0.031060517,-0.65302396,-4.5133166,-8.834456
2.5892725,0.8271758,-0.60675675,-0.564857,3.150615,16.368551
2.5892725,0.8271758,-0.60675675,-0.564857,3.150615,16.368551
-3.2268949,4.1245275,0.09032422,-6.9418793,10.560041,21.570139
-3.2268949,4.1245275,0.09032422,-6.9418793,10.560041,21.570139
0.39306682,1.6533878,-0.117905855,10.994264,-15.275537,-14.17052
0.39306682,1.6533878,-0.117905855,10.994264,-15.275537,-14.17052
0.6786948,1.6976142,0.6127192,-0.47064084,-4.7036014,-13.538075
1.5537865,0.38252592,-0.58523583,-0.5067946,-3.371441,-6.095886
1.5537865,0.38252592,-0.58523583,-0.5067946,-3.371441,-6.095886
1.9817368,0.025175512,-0.13295132,1.473119,4.6869597,13.164843
1.9817368,0.025175512,-0.13295132,1.473119,4.6869597,13.164843
-0.5857374,3.5010316,0.15456855,-12.015974,14.516343,20.690193
-0.5857374,3.5010316,0.15456855,-12.015974,14.516343,20.690193
0.24106574,2.3794684,-0.5255424,11.281123,-12.346238,-13.419721
0.24106574,2.3794684,-0.5255424,11.281123,-12.346238,-13.419721
0.63703215,0.9380971,0.67728704,0.7894206,-6.8996053,-11.467429
2.153887,-0.3944686,-0.06312317,-1.3972529,1.3023983,0.12498138
2.153887,-0.3944686,-0.06312317,-1.3972529,1.3023983,0.12498138
1.5122479,1.2048624,-0.4662456,-2.0043805,2.9849951,15.119642
1.5122479,1.2048624,-0.4662456,-2.0043805,2.9849951,15.119642
-4.239789,2.0379663,-1.9656867,-0.24542665,11.809799,5.5244613
-4.239789,2.0379663,-1.9656867,-0.24542665,11.809799,5.5244613
0.8689213,0.23404473,0.46424204,8.10332,-12.1476345,-12.484053
0.8689213,0.23404473,0.46424204,8.10332,-12.1476345,-12.484053
0.8456165,1.0984497,0.23859066,-0.46094155,-3.7480938,-9.383073
1.3354654,0.46281278,-0.199022,-1.5054456,-1.0907656,-2.0000036
1.3354654,0.46281278,-0.199022,-1.5054456,-1.0907656,-2.0000036
1.6909612,0.3511694,-0.5967556,-0.71861786,2.4836018,11.346158
1.6909612,0.3511694,-0.5967556,-0.71861786,2.4836018,11.346158
-1.0253807,2.250497,0.69952685,-3.4065104,13.463697,20.107204
-1.0253807,2.250497,0.69952685,-3.4065104,13.463697,20.107204
-0.42712912,2.0524282,-3.3855524,8.267914,-7.085793,-9.183959
-0.42712912,2.0524282,-3.3855524,8.267914,-7.085793,-9.183959
0.33214518,0.899811,1.2773598,2.6296794,-7.5366135,-11.298074
1.2493794,0.9518696,-0.3255793,-1.0938606,-3.3754694,-7.147531
1.2493794,0.9518696,-0.3255793,-1.0938606,-3.3754694,-7.147531
2.2705805,-0.05894518,-0.44238842,-1.7801641,2.4611347,8.977438
2.2705805,-0.05894518,-0.44238842,-1.7801641,2.4611347,8.977438
-0.83032805,2.9052744,0.9413347,-2.293911,9.914138,19.966288
-0.83032805,2.9052744,0.9413347,-2.293911,9.914138,19.966288
-0.34491503,2.0282464,-2.6502113,8.557258,-8.331629,-11.041527
-0.34491503,2.0282464,-2.6502113,8.557258,-8.331629,-11.041527
0.5669832,1.2456717,0.90246105,1.8543434,-4.4682875,-11.305938
2.5707285,-0.16793305,0.26501298,-0.751767,1.8004693,-0.5265249
2.5707285,-0.16793305,0.26501298,-0.751767,1.8004693,-0.5265249
1.4617262,1.610034,0.48567504,-3.8324928,4.0481367,16.827581
1.4617262,1.610034,0.48567504,-3.8324928,4.0481367,16.827581
-3.3723674,2.0997517,-4.567459,-2.6409538,8.995682,3.2901113
-3.3723674,2.0997517,-4.567459,-2.6409538,8.995682,3.2901113
-0.09097201,0.1760053,1.0909157,7.2802978,-8.15638,-11.774873
-0.09097201,0.1760053,1.0909157,7.2802978,-8.15638,-11.774873
1.2070085,1.1840956,0.017669022,3.3071284,-2.2549942,-9.397341
2.5136538,-0.4696679,0.7831234,-0.8639698,-1.672307,1.4539199
