C0,C1,C2,C3,C4,C5
-0.19306087,0.73997474,0.32777458,-4.407175,4.641964,11.898398
-2.3730397,1.4093988,-2.427284,-3.7188013,1.9204949,3.289517
-2.3730397,1.4093988,-2.427284,-3.7188013,1.9204949,3.289517
-1.3987753,0.49473634,-0.73913455,5.9711037,-2.4588706,-5.0354633
-1.3987753,0.49473634,-0.73913455,5.9711037,-2.4588706,-5.0354633
-0.34226924,0.90077484,0.13812435,3.694619,-0.39644197,-7.7168727
-0.34226924,0.90077484,0.13812435,3.694619,-0.39644197,-7.7168727
0.5250573,1.2059902,0.1241321,3.123458,-3.1989253,-8.721222
0.60502756,1.0756174,0.18386656,1.211199,-2.4203343,-6.711843
0.60502756,1.0756174,0.18386656,1.211199,-2.4203343,-6.711843
0.83444595,0.7181368,0.046857893,-0.26454365,0.59849906,-1.290238
0.83444595,0.7181368,0.046857893,-0.26454365,0.59849906,-1.290238
0.8012768,0.6237873,-0.012661815,-0.44523957,0.33311513,3.6035507
0.8012768,0.6237873,-0.012661815,-0.44523957,0.33311513,3.6035507
0.6094218,0.6955765,0.1756249,-0.7184833,0.21398363,7.0939236
0.6094218,0.6955765,0.1756249,-0.7184833,0.21398363,7.0939236
0.02685529,0.66202354,0.38405097,-2.4429188,0.6752778,9.817922
-1.138933,0.35312325,-0.08466196,-4.4140487,5.5392046,9.149766
-1.138933,0.35312325,-0.08466196,-4.4140487,5.5392046,9.149766
-1.9229901,0.94723,-1.9972315,-1.4689094,1.0804341,0.9487563
-1.9229901,0.94723,-1.9972315,-1.4689094,1.0804341,0.9487563
-0.99397826,0.57616794,-0.7079053,4.893461,-2.9528449,-5.570944
-0.99397826,0.57616794,-0.7079053,4.893461,-2.9528449,-5.570944
-0.12526172,0.9036832,-5.1164627E-4,3.5738902,-2.6646168,-7.7160554
-0.12526172,0.9036832,-5.1164627E-4,3.5738902,-2.6646168,-7.7160554
0.40868813,1.0417129,0.038833916,1.7929691,-3.118501,-8.159653
0.4471774,0.9785685,0.026744604,0.45983377,-1.8998126,-6.839639
0.4471774,0.9785685,0.026744604,0.45983377,-1.8998126,-6.839639
