C0,C1,C2,C3,C4,C5
-0.41588002,0.7638924,0.7289233,-4.312127,-0.91681343,-1.697181
-0.24676871,1.105547,0.48649848,-8.750969,-0.92357177,-1.102255
-0.24676871,1.105547,0.48649848,-8.750969,-0.92357177,-1.102255
-0.16987646,1.8241258,0.42911303,-12.455176,1.8627458,-2.6951752
-0.16987646,1.8241258,0.42911303,-12.455176,1.8627458,-2.6951752
0.19237965,2.1024904,0.09092599,-12.506674,2.8724518,-4.400295
0.19237965,2.1024904,0.09092599,-12.506674,2.8724518,-4.400295
0.27725804,1.9939753,-1.0581871,-9.338245,0.6087674,-5.0293603
0.7197893,1.9270601,-1.7749627,0.34908995,-0.14707744,-2.7522569
0.7197893,1.9270601,-1.7749627,0.34908995,-0.14707744,-2.7522569
0.69378275,1.4219307,-0.76661205,5.023228,0.7691413,1.7062001
0.69378275,1.4219307,-0.76661205,5.023228,0.7691413,1.7062001
0.29857337,1.6683234,-0.28435266,9.353721,0.48520628,5.421914
0.29857337,1.6683234,-0.28435266,9.353721,0.48520628,5.421914
-0.34903646,3.0716538,0.25782883,13.961318,0.27566,7.2526546
-0.7409585,2.18559,1.2443941,12.6184025,-0.7517054,3.6260417
-0.7409585,2.18559,1.2443941,12.6184025,-0.7517054,3.6260417
-0.7937298,1.3919587,1.8752528,6.971788,-0.79390943,2.3133936
-0.7937298,1.3919587,1.8752528,6.971788,-0.79390943,2.3133936
-0.6605097,0.9563441,1.8919038,0.47735423,0.25290418,-0.169086
-0.6605097,0.9563441,1.8919038,0.47735423,0.25290418,-0.169086
-0.35449278,0.9850181,0.86860144,-6.3192177,0.0904004,-2.3973522
-0.35449278,0.9850181,0.86860144,-6.3192177,0.0904004,-2.3973522
-0.18174541,1.3596408,0.1434288,-10.132817,-1.4145583,-2.167267
-0.16444337,1.5826529,0.2596839,-11.672054,-0.06710576,-1.7524931
-0.16444337,1.5826529,0.2596839,-11.672054,-0.06710576,-1.7524931
-0.020286381,1.872968,-0.27781707,-12.216101,0.99845964,-3.2839928
-0.020286381,1.872968,-0.27781707,-12.216101,0.99845964,-3.2839928
0.35934645,1.8048648,-0.9207542,-8.51204,1.8576009,-3.6764636
0.35934645,1.8048648,-0.9207542,-8.51204,1.8576009,-3.6764636
0.71862656,1.4058197,-1.7482575,-1.2603202,0.84400195,-1.6164122
0.71862656,1.4058197,-1.7482575,-1.2603202,0.84400195,-1.6164122
0.5360022,1.2738074,-0.6447377,4.3171053,-0.11481456,1.0632435
0.24890053,1.3779244,-0.3652444,7.4305124,0.013642624,3.4453752
0.24890053,1.3779244,-0.3652444,7.4305124,0.013642624,3.4453752
-0.090753555,2.09064,0.11050439,12.137981,0.32460442,5.5810122
-0.090753555,2.09064,0.11050439,12.137981,0.32460442,5.5810122
-0.91266966,2.4099298,0.72357047,12.484318,2.255974,5.407552
-0.91266966,2.4099298,0.72357047,12.484318,2.255974,5.407552
-0.6703634,1.6037387,1.3137393,9.248527,-2.1848557,1.8378431
-0.6703634,1.6037387,1.3137393,9.248527,-2.1848557,1.8378431
-0.92431027,1.4223502,1.5505595,6.4181385,-1.6874818,-0.79377294
-0.07398623,0.51429373,1.4810343,-2.744551,1.393642,-0.14983581
-0.07398623,0.51429373,1.4810343,-2.744551,1.393642,-0.14983581
-0.20645744,1.0735395,0.52462816,-8.969694,-2.8004544,-0.8645579
-0.20645744,1.0735395,0.52462816,-8.969694,-2.8004544,-0.8645579
-0.40063798,1.0356236,-0.014139414,-10.828743,-2.0891538,-0.20889598
-0.40063798,1.0356236,-0.014139414,-10.828743,-2.0891538,-0.20889598
-0.0511055,1.6962297,0.22515172,-13.800455,1.9284791,-0.29550365
-0.0511055,1.6962297,0.22515172,-13.800455,1.9284791,-0.29550365
0.19521189,2.664154,-0.4705618,-12.871808,4.6156507,-4.9941854
0.19521189,2.664154,-0.4705618,-12.871808,4.6156507,-4.9941854
0.9965639,1.3779093,-2.234773,-3.2011507,-0.4959563,-3.1231885
0.41756237,1.2395588,-0.33729094,3.7802868,1.4411738,1.3350918
0.41756237,1.2395588,-0.33729094,3.7802868,1.4411738,1.3350918
