accel,gyro,miclevel,Label
"-0.038625240325927734,0.32864105701446533,0.4190443158149719","-0.43285396695137024,0.19468314945697784,1.2163407802581787","-120.0,-120.0",Walking
"0.020211458206176758,0.2767834961414337,0.42876338958740234","-0.5889014005661011,-1.367614507675171,1.3019155263900757","-26.074087142944336,-26.328380584716797",Walking
"0.08026838302612305,0.24182932078838348,0.4089564085006714","-0.8826767802238464,-3.1590936183929443,1.9737746715545654","-26.074087142944336,-27.144224166870117",Walking
"-0.5162410736083984,0.4020165205001831,0.15409636497497559","-2.0464096069335938,-2.990696430206299,5.174225330352783","-22.553726196289062,-28.344776153564453",Walking
"-1.341676950454712,0.3486890196800232,-0.1724717617034912","-2.339390754699707,-1.1896077394485474,4.526656150817871","-22.553726196289062,-27.747329711914062",Walking
"-1.5643562078475952,0.04627615213394165,-0.3097953796386719","-1.8126187324523926,-1.6421257257461548,4.493888854980469","-15.639028549194336,-28.786754608154297",Walking
"-1.8351942300796509,-0.292874813079834,-0.3098825216293335","-1.3960721492767334,-1.8206602334976196,3.6613433361053467","-13.08756160736084,-24.897968292236328",Walking
"-1.8317595720291138,-0.4396677017211914,-0.34914350509643555","-1.4082502126693726,-1.3709908723831177,2.8853108882904053","-13.08756160736084,-25.662582397460938",Walking
"-1.7005633115768433,-0.6428086161613464,-0.501511812210083","-0.7910294532775879,-1.0988701581954956,1.4818994998931885","-13.08756160736084,-25.81572914123535",Walking
"-1.5078095197677612,-0.7338590621948242,-0.5457987785339355","0.49695438146591187,-1.342821478843689,0.13274957239627838","-13.08756160736084,-26.76211166381836",Walking
"-1.3644698858261108,-0.7559835910797119,-0.49538421630859375","0.9518944025039673,-1.5898382663726807,-0.2477351874113083","-13.08756160736084,-27.662750244140625",Walking
"-1.2549593448638916,-0.615724503993988,-0.4027554988861084","1.2149876356124878,-2.187063217163086,-0.8242104649543762","-13.08756160736084,-28.539194107055664",Walking
